Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID
Regular,GMV_H,4:48,5:12,PC_7,9.153,18.3059998,0,570.0
Regular,PC_10,5:12,5:45,HED_E,11.168,22.3409996,1,224.0
Regular,HED_D,5:53,6:17,PC_5,9.931,19.8619995,2,364.0
Regular,PC_7,6:17,6:34,JON_B,5.137,10.2790003,3,775.0
Regular,JON_A,6:45,6:57,PC_7,5.133,10.2659998,4,778.0
Regular,PC_5,6:57,7:29,HED_E,10.088,20.1809998,5,372.0
Regular,HED_D,7:37,8:07,PC_10,10.664,21.3279991,6,243.0
Regular,PC_10,8:07,8:43,HED_E,11.168,22.3409996,7,251.0
Regular,HED_D,8:47,9:17,PC_10,10.664,21.3279991,8,255.0
Regular,PC_9,9:17,9:32,JON_B,6.191,12.3870001,9,907.0
Regular,JON_A,9:34,9:47,PC_9,6.171,12.342,10,908.0
Regular,PC_10,9:47,10:23,HED_E,11.168,22.3409996,11,259.0
Regular,HED_D,10:48,11:17,PC_10,10.664,21.3279991,12,264.0
Regular,PC_9,11:17,11:32,JON_B,6.191,12.3870001,13,915.0
Regular,JON_A,11:34,11:47,PC_9,6.171,12.342,14,916.0
Regular,PC_10,11:47,12:22,HED_E,11.168,22.3409996,15,267.0
Regular,HED_D,12:37,13:07,PC_10,10.664,21.3279991,16,271.0
Regular,PC_9,13:07,13:22,JON_B,6.191,12.3870001,17,923.0
Regular,JON_A,13:34,13:47,PC_9,6.171,12.342,18,926.0
Regular,PC_7,13:50,14:15,GMV_G,9.319,18.6380005,19,630.0
Regular,GMV_H,14:22,14:47,PC_7,9.153,18.3059998,20,633.0
Regular,PC_10,14:47,15:22,HED_E,11.168,22.3409996,21,288.0
Regular,HED_D,15:29,15:57,PC_5,9.931,19.8619995,22,433.0
Regular,PC_7,15:57,16:14,JON_B,5.137,10.2790003,23,835.0
Regular,JON_A,16:25,16:37,PC_7,5.133,10.2659998,24,838.0
Regular,PC_7,16:37,16:54,JON_B,5.137,10.2790003,25,839.0
Regular,JON_A,17:05,17:17,PC_7,5.133,10.2659998,26,842.0
Regular,PC_7,17:17,17:34,JON_B,5.137,10.2790003,27,843.0
Regular,JON_A,17:45,17:57,PC_7,5.133,10.2659998,28,846.0
Regular,PC_5,17:57,18:28,HED_E,10.088,20.1809998,29,457.0
Regular,HED_D,18:32,18:57,PC_5,9.931,19.8619995,30,460.0
Regular,PC_7,18:57,19:14,JON_B,5.137,10.2790003,31,853.0
Regular,JON_A,19:15,19:27,PC_7,5.133,10.2659998,32,854.0
Regular,PC_7,19:27,19:44,JON_B,5.137,10.2790003,33,855.0
Regular,JON_A,19:45,19:57,PC_7,5.133,10.2659998,34,856.0
Regular,PC_7,19:57,20:14,JON_B,5.137,10.2790003,35,857.0
Regular,JON_A,20:15,20:27,PC_7,5.133,10.2659998,36,858.0
Regular,PC_3,20:27,20:43,13329,4.783,9.5710001,37,750.0
Regular,13329,20:46,20:57,PC_3,4.645,9.28999996,38,751.0
Regular,PC_6,20:57,21:22,ÖS_J,8.581,17.1669998,39,555.0
Regular,ÖS_H,21:36,21:57,PC_6,8.205,16.4099998,40,558.0
Regular,PC_5,21:57,22:25,HED_E,10.088,20.1809998,41,474.0
Regular,HED_D,22:34,22:57,PC_5,9.931,19.8619995,42,477.0
Regular,PC_6,22:57,23:22,ÖS_J,8.581,17.1669998,43,563.0
Regular,ÖS_H,23:36,23:57,PC_6,8.205,16.4099998,44,566.0
Regular,PC_5,23:57,24:24,HED_E,10.088,20.1809998,45,482.0
Regular,HED_D,24:34,24:57,PC_5,9.931,19.8619995,46,485.0
Regular,PC_7,24:57,25:14,JON_B,5.137,10.2790003,47,877.0
Regular,JON_A,25:15,25:27,PC_7,5.133,10.2659998,48,878.0
Regular,PC_5,25:27,25:45,6480,8.132,16.2689991,49,488.0
